Response ID,RespondantKey,Date Started,Date Finished,Status,Linked From,Comments,Country,Region,City,,econ_1949,econ_1953,econ_1957,econ_1961,econ_1965,econ_1969,econ_1973,econ_1977,econ_1981,econ_1985,econ_1989,econ_1993,econ_1997,econ_2001,econ_2005,econ_2009,econ_2013,econ_2017,econ_2021,econ_2025,econ_2029,econ_2033,econ_2037,econ_2041,econ_2045,Year 1,Year 2,Year 3,Year 4,,pink,green,white,black,blue,,,
80204723,0,4/14/2010 15:49,4/14/2010 16:13,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Maryland,Suitland,1028b,4,2,3,2,3,3,3,4,3,4,3,3,3,4,4,3,3,3,3,3,2,3,3,4,3,25,25,25,25,12,,green,,black,,second term,I found it interesting. I wonder what type of analysis on the responses you will use to see if people look at specific indicators (a negative growth year) vs evaluating whole end point (judging solely on the cummulative 4 year performance),80204723
80205044,0,4/14/2010 15:50,4/14/2010 16:06,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Indiana,Fort Wayne,1028b,3,3,2,3,3,3,2,3,3,3,3,3,4,4,4,3,2,2,2,2,3,3,3,4,3,15,15,30,40,12,,green,,black,,second term,,80205044
80216180,0,4/14/2010 16:24,4/14/2010 16:34,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Kansas,Lawrence,1028b,4,3,3,1,3,3,2,3,3,4,2,2,3,4,4,3,3,2,2,2,1,3,2,4,2,20,10,30,40,12,,green,,black,,second term,"Can you tell us how accurate we were? I'm sure the ""real"" states of the economy were much different than what I thought... I'm not an economist.",80216180
80216535,0,4/14/2010 16:25,4/14/2010 16:36,Submitted,,,United States,Oregon,Roseburg,1028b,4,1,3,1,3,4,3,3,3,4,3,3,3,4,4,2,3,2,4,3,1,3,3,2,2,20,30,25,25,10,,green,,black,,second term,,80216535
80216660,0,4/14/2010 16:25,4/14/2010 16:40,Saved,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Washington,Kelso,1028b,,,,,2,,2,,2,,,,1,3,3,,,,,,,,,,,,,,,,,,,,,,,
80217299,0,4/14/2010 16:28,4/14/2010 16:49,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Pennsylvania,Lebanon,1028b,4,2,4,2,3,4,3,4,3,3,3,4,3,4,4,3,4,2,2,2,2,2,3,4,2,10,15,25,50,12,,green,,black,,second term,,80217299
80226410,0,4/14/2010 17:00,4/14/2010 17:19,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Texas,Fort Worth,1028b,2,3,3,3,3,3,2,4,1,3,2,3,3,4,4,2,2,2,2,3,2,2,3,3,1,10,40,30,20,12,,green,,black,,second term,,80226410
80226870,0,4/14/2010 17:01,4/14/2010 17:19,Submitted,,,United States,Washington,Vancouver,1028b,2,1,1,1,3,2,3,4,2,2,1,2,4,4,3,1,3,1,1,1,1,2,1,2,1,20,20,20,40,12,,green,,black,,second term,,80226870
80235248,0,4/14/2010 17:33,4/14/2010 17:44,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Ohio,Novelty,1028b,3,1,3,1,2,3,2,3,2,3,3,3,3,4,3,2,3,1,3,2,1,2,2,3,2,25,25,25,25,12,,green,,black,,second term,,80235248
80243457,0,4/14/2010 18:13,4/14/2010 18:27,Submitted,,,United States,California,Torrance,1028b,3,1,3,2,3,3,3,4,3,3,3,2,3,4,4,1,4,2,3,3,1,2,3,3,2,10,30,30,30,10,,green,,black,,second term,,80243457
80246722,0,4/14/2010 18:32,4/14/2010 18:42,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Virginia,Martinsville,1028b,2,1,2,2,1,3,2,3,2,3,1,2,2,3,3,1,2,1,2,1,1,1,2,2,1,25,25,25,25,12,,green,,black,,second term,Interesting survey.,80246722
80247530,0,4/14/2010 18:36,4/14/2010 18:41,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,Singapore,,Singapore,1028b,4,3,4,1,4,4,3,2,4,4,3,4,3,4,4,4,4,3,3,3,3,4,3,4,3,25,25,25,25,12,,green,,black,,second term,,80247530
80255400,0,4/14/2010 19:28,4/14/2010 19:58,Saved,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Colorado,Boulder,1028b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80258092,0,4/14/2010 19:46,4/14/2010 20:06,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Arizona,Tempe,1028b,3,2,3,2,2,3,2,3,3,3,2,3,3,4,4,3,3,2,3,3,2,3,3,3,3,6,16,25,53,12,,green,,black,,second term,"I think there should have been a middle option, which was neither bad nor good.  I would have selected this option many times.",80258092
80259343,0,4/14/2010 19:56,4/14/2010 20:06,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Georgia,Atlanta,1028b,4,1,3,1,2,4,2,3,3,4,3,3,3,4,3,2,3,2,3,1,1,1,2,4,1,20,25,25,30,12,,green,,black,,second term,good survey,80259343
80261263,0,4/14/2010 20:09,4/14/2010 20:29,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Kansas,Wichita,1028b,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,25,25,25,25,12,,green,,black,,second term,,80261263
80269125,0,4/14/2010 21:09,4/14/2010 21:29,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Georgia,Athens,1028b,3,3,3,2,3,4,4,4,3,4,3,3,4,4,4,3,4,3,3,3,3,3,3,4,3,15,25,25,35,12,,green,,black,,second term,,80269125
80270358,0,4/14/2010 21:18,4/14/2010 21:31,Submitted,,,United States,New York,Flushing,1028b,4,2,2,1,2,3,3,4,2,4,2,4,3,4,4,1,3,1,3,2,1,2,2,3,1,15,25,25,35,12,,green,,black,,second term,,80270358
80271761,0,4/14/2010 21:29,4/14/2010 21:40,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Ohio,Holland,1028b,4,3,3,3,4,4,3,4,4,4,3,4,4,4,4,3,3,3,3,3,2,4,3,4,3,25,25,25,25,12,,green,,black,,second term,,80271761
80279122,0,4/14/2010 22:26,4/14/2010 22:52,Submitted,,,United States,Illinois,Chicago,1028b,3,1,2,1,2,2,1,3,1,3,2,3,3,4,4,2,3,1,2,2,1,2,2,3,1,20,23,27,30,12,,green,,black,,second term,"I think growth of 3% a year for 4 years should be (1.03^4)-1, not 3X4. So it would be 12.550881%, not 12.",80279122
80300659,0,4/15/2010 1:27,4/15/2010 1:51,Submitted,,,United States,Georgia,Marietta,1028b,3,3,3,2,3,4,3,3,3,3,3,4,4,3,4,3,3,2,3,3,2,2,3,4,1,10,,,,12,pink,,,,,second term,it is a good hypothesis to relate individual  income annual growth with economy under the leadership of a particular presdential candidate,80300659
80300953,0,4/15/2010 1:29,4/15/2010 2:20,Saved,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Virginia,Newport News,1028b,4,2,4,2,3,4,3,4,3,4,3,4,4,4,4,2,3,2,3,3,2,3,2,3,2,25,25,25,25,12,,green,,black,,second term,,
80301842,0,4/15/2010 1:36,4/15/2010 1:45,Submitted,,,United States,Oregon,Roseburg,1028b,4,1,4,1,3,4,2,4,3,4,3,3,4,4,4,2,4,2,4,3,1,3,3,3,2,10,25,25,40,12,,green,,black,,second term,,80301842
80317790,0,4/15/2010 3:15,4/15/2010 3:43,Submitted,,,United States,Connecticut,Waterbury,1028b,3,2,3,1,3,4,2,4,3,4,3,3,3,4,3,2,4,2,2,2,2,2,3,4,2,40,10,10,40,12,,green,,black,,second term,,80317790
80349684,0,4/15/2010 6:00,4/15/2010 6:13,Submitted,,,United States,Ohio,Akron,1028b,3,1,3,1,3,3,1,2,2,3,2,2,3,3,4,2,4,1,3,3,1,2,1,3,2,25,25,25,25,12,,green,,black,,second term,,80349684
80364930,0,4/15/2010 7:09,4/15/2010 7:58,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Wisconsin,De Pere,1028b,4,3,3,2,4,4,3,3,4,4,4,4,4,4,4,3,4,3,4,4,2,4,3,3,3,20,20,20,40,12,,green,,black,,second term,,80364930
80404252,0,4/15/2010 9:45,4/15/2010 9:59,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Nebraska,Lexington,1028b,3,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,3,3,4,3,3,4,3,4,10,10,10,70,12,,green,,black,,second term,,80404252
80408577,0,4/15/2010 9:59,4/15/2010 10:24,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,New Hampshire,Hampton Falls,1028b,4,1,2,1,2,3,2,4,2,2,2,3,2,4,4,2,3,1,2,2,1,2,2,3,1,20,20,25,35,12,,green,,black,,second term,"Steady growth is desirable, but sometimes needs to be sacrifised for a greater cumulative gain.",80408577
80418555,0,4/15/2010 10:35,4/15/2010 10:41,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Massachusetts,Waltham,1028b,4,2,3,2,3,3,3,4,2,3,2,2,4,3,4,2,4,3,3,2,2,3,3,4,2,10,20,30,40,12,,green,,black,,second term,,80418555
80424124,0,4/15/2010 10:56,4/15/2010 11:05,Saved,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Georgia,Greenville,1028b,3,,3,2,,,2,3,2,3,2,2,,,,,3,3,3,2,3,3,,3,,,,,,,,,,,,,,
80438345,0,4/15/2010 12:11,4/15/2010 12:20,Saved,,,United States,North Carolina,Pembroke,1028b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80442236,0,4/15/2010 12:30,4/15/2010 12:49,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Ohio,Amelia,1028b,3,2,3,3,4,3,2,2,2,2,4,3,3,3,3,4,2,3,3,2,2,3,3,3,3,20,30,30,20,12,,green,,black,,second term,no,80442236
80451176,0,4/15/2010 13:07,4/15/2010 13:12,Submitted,,,United States,Indiana,Lafayette,1028b,2,2,3,2,3,3,2,3,3,4,3,3,2,4,4,3,3,2,3,3,2,3,3,3,3,10,20,30,40,12,,green,,black,,second term,,80451176
80475015,0,4/15/2010 14:55,4/15/2010 15:09,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,North Carolina,North Wilkesboro,1028b,4,2,3,2,3,4,2,4,3,3,3,3,4,3,4,2,3,2,4,3,2,3,3,4,2,15,25,30,30,12,,green,,black,,second term,no comments.,80475015
80479373,0,4/15/2010 15:13,4/15/2010 15:41,Submitted,,,United States,New York,New York,1028b,4,2,3,3,3,3,2,4,3,4,3,4,3,4,4,3,3,3,4,3,2,4,3,3,2,10,10,10,70,12,,green,,black,,second term,,80479373
80486153,0,4/15/2010 15:42,4/15/2010 16:01,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Florida,Fort Myers,1028b,3,2,1,2,4,2,3,3,1,3,2,3,3,4,4,2,2,2,3,2,1,2,2,4,2,10,40,25,25,12,,green,,black,,second term,,80486153
80491423,0,4/15/2010 16:08,4/15/2010 16:35,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Tennessee,Cookeville,1028b,4,3,3,2,4,4,3,4,3,3,3,3,3,4,4,4,3,3,3,3,3,3,4,4,2,21,21,22,36,12,,green,,black,,second term,Interesting survey.,80491423
80491501,0,4/15/2010 16:08,4/15/2010 16:15,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Minnesota,Minneapolis,1028b,3,1,3,2,3,4,4,4,3,3,2,3,3,4,4,3,4,3,3,3,2,2,3,3,2,25,25,25,25,12,,green,,black,,second term,,80491501
80491669,0,4/15/2010 16:09,4/15/2010 16:35,Submitted,,,United States,Virginia,Burke,1028b,4,3,4,2,4,4,4,3,4,4,3,4,3,4,4,3,4,3,4,3,3,3,3,4,3,25,25,25,25,12,,green,,black,,second term,no,80491669
80496335,0,4/15/2010 16:30,4/15/2010 16:49,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Texas,Katy,1028b,2,1,2,2,2,2,2,3,2,2,2,2,2,3,3,2,2,1,2,2,2,2,2,3,2,10,20,30,40,12,,green,,black,,second term,,80496335
80498045,0,4/15/2010 16:39,4/15/2010 17:00,Submitted,http://pro20.sgizmo.com/survey.php?SURVEY=E2Y33ONGWLCQW73THU8AGFO19SP533-277568-80496335&pswsgt=1271258787&sg_r=http%3A%2F%2Fweb.mit.edu%2F%7Eglenz%2FPublic%2Fplots%2Fagreement.htm&sg_g=66ce2500484c9e20e85c375fe158fd2a&_csg=34KRy6w1jyfQo&notice=DO-NOT-DIS,,United States,Texas,Katy,1028b,2,2,1,1,1,1,1,3,1,2,1,1,2,4,3,2,1,1,1,1,2,1,1,3,1,10,20,30,40,12,,green,,black,,second term,,80498045
80501471,0,4/15/2010 16:57,4/15/2010 17:06,Submitted,,,United States,Minnesota,Saint Cloud,1028b,4,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,3,4,3,2,1,4,3,4,3,30,20,20,30,12,,green,,black,,second term,,80501471
80505203,0,4/15/2010 17:18,4/15/2010 17:21,Saved,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Tennessee,Nashville,1028b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80506978,0,4/15/2010 17:27,4/15/2010 17:43,Submitted,,,United States,California,Los Altos,1028b,4,2,3,1,3,3,3,3,3,3,3,3,4,3,4,2,3,2,3,3,1,3,3,3,3,25,25,25,25,12,,green,,black,,second term,,80506978
80507081,0,4/15/2010 17:28,4/15/2010 17:50,Submitted,,,United States,Illinois,Addison,1028b,4,3,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,10,10,40,40,9,,green,,black,,second term,No.,80507081
80514591,0,4/15/2010 18:20,4/15/2010 18:38,Submitted,,,United States,Georgia,Buford,1028b,4,3,3,3,2,4,2,4,4,4,2,3,3,4,4,2,4,2,3,3,2,2,3,3,2,25,25,25,25,12,,green,,black,,second term,,80514591
