ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,Status,StartDate,EndDate,Finished,study_number,Critical instructions! Evaluate the economy under 25 hypothetical presidents who are serving in thei...,epc_1949,epc_1953,epc_1957,epc_1961,epc_1965,epc_1969,epc_1973,epc_1977,epc_1981,epc_1985,epc_1989,epc_1993,epc_1997,epc_2001,epc_2005,epc_2009,epc_2013,epc_2017,epc_2021,epc_2025,epc_2029,epc_2033,epc_2037,epc_2041,epc_2045,econ_weight_future-Year 1,econ_weight_future-Year 2,econ_weight_future-Year 3,econ_weight_future-Year 4,attention_2-pink,attention_2-red,attention_2-green,attention_2-white,attention_2-yellow,attention_2-blue,"As you may have heard, Mitt Romney recently chose Paul Ryan as his running mate for the 2012 preside...",How likely are you to votefor the Romney/Ryan ticket in ...,"As you may have heard, Mitt Romney recently chose Paul Ryan (shown below) as his running mate for th...",How likely are you to vote / for the Romney/Ryan ticket in November?,"As you may have heard, Chris Christie was recently chosen as / the keynote speaker for the Republican...",How likely would you have / been to vote for a Romney/Christie ticket in November?,"As you may have heard, Chris Christie (shown below) was recently chosen as the keynote speaker for t...",How likely would you have / been to vote for a Romney/Christie ticket in November?,Thanks again! Any comments? (optional)
R_6XSp7GyoINK0nwF,Default Response Set,Anonymous,,,0,8/20/2012 20:04,8/20/2012 20:09,1,1218,1,4,4,3,4,4,3,4,3,4,3,3,2,4,2,3,4,3,4,4,3,4,3,4,4,3,10,10,30,50,,,1,,1,,,,,,,,1,7,
R_24sbes26T441Zvn,Default Response Set,Anonymous,,,0,8/20/2012 20:27,8/20/2012 20:32,1,1218,1,3,2,3,2,3,2,2,1,3,3,4,2,1,2,2,2,2,3,2,1,4,1,3,2,1,30,30,10,30,,,,,,1,,,1,1,,,,,
R_1ySe1DPrCdmZd89,Default Response Set,Anonymous,,,0,8/20/2012 20:48,8/20/2012 20:51,1,1218,1,3,3,2,3,1,1,3,3,3,1,2,1,3,1,2,3,1,4,3,3,3,2,4,3,1,30,20,20,30,,,1,,1,,,,,,1,1,,,None. Thanks though!
R_6XwqsTVUDjfmlJH,Default Response Set,Anonymous,,,0,8/20/2012 21:29,8/20/2012 21:34,1,1218,1,4,4,3,4,3,3,4,4,4,3,4,3,3,3,4,4,2,4,4,4,4,2,4,4,3,5,10,25,60,,,1,,1,,1,7,,,,,,,
R_1zDlfY37amoB15P,Default Response Set,Anonymous,,,0,8/20/2012 21:28,8/20/2012 21:35,1,1218,1,3,4,2,3,2,2,3,4,3,2,3,1,2,2,2,3,2,3,3,2,3,2,4,4,2,15,15,30,40,,,1,,1,,,,1,1,,,,,thank you for the work!
R_6KinekF3VXPoEn3,Default Response Set,Anonymous,,,0,8/20/2012 21:34,8/20/2012 21:37,1,1218,1,3,4,3,2,3,1,4,4,4,1,3,2,3,1,2,4,1,4,4,4,4,1,4,4,2,20,20,20,40,,,1,,1,,,,1,1,,,,,
R_1Mq1COaVSDzuDxb,Default Response Set,Anonymous,,,0,8/20/2012 21:42,8/20/2012 21:50,1,1218,1,2,4,1,3,1,1,3,3,2,1,3,1,2,1,1,2,1,4,3,2,3,2,4,4,1,12,21,36,31,,,1,,,,,,,,,,1,1,
R_ebAcJNaZXHYIHgV,Default Response Set,Anonymous,,,0,8/20/2012 21:58,8/20/2012 22:02,1,1218,1,4,4,2,2,3,2,3,4,4,2,2,2,3,3,1,2,2,4,4,3,4,3,3,3,3,10,30,30,30,,,1,,1,,1,1,,,,,,,
R_3PgyrWR8LLSGunb,Default Response Set,Anonymous,,,0,8/20/2012 22:01,8/20/2012 22:06,1,1218,1,2,3,2,2,2,2,2,2,3,1,2,2,3,1,1,2,2,2,2,1,1,2,3,2,1,10,30,40,20,,,1,,1,,,,,,,,1,6,
R_5d7nSSwU5AFlOrb,Default Response Set,Anonymous,,,0,8/20/2012 21:58,8/20/2012 22:09,1,1218,1,2,2,3,3,2,2,3,4,3,2,3,4,2,2,3,2,3,4,4,3,1,2,3,1,3,10,20,30,40,,,1,,1,,,,,,1,2,,,
R_aWAzuTRSHBjH2oR,Default Response Set,Anonymous,,,0,8/20/2012 22:23,8/20/2012 22:28,1,1218,1,4,4,4,4,3,3,4,4,4,3,4,3,4,2,4,4,3,4,4,4,4,3,4,4,4,15,24,26,35,,,1,,1,,,,,,1,4,,,
R_d5c4N1raVka0vSl,Default Response Set,Anonymous,,,0,8/20/2012 22:36,8/20/2012 22:41,1,1218,1,4,4,3,4,4,2,4,4,4,2,3,3,4,3,3,3,2,4,4,4,4,3,4,4,3,10,20,30,40,,,1,,1,,1,1,,,,,,,
R_0T9p2LusxXPChAF,Default Response Set,Anonymous,,,0,8/20/2012 22:53,8/20/2012 22:58,1,1218,1,2,2,3,2,3,2,2,2,4,3,4,1,2,2,1,2,2,3,3,2,4,1,4,2,2,35,40,15,10,,,1,,1,,,,,,,,1,1,
R_3giSBTBy4eBYTLn,Default Response Set,Anonymous,,,0,8/21/2012 0:09,8/21/2012 0:22,1,1218,1,2,3,3,3,3,2,3,3,3,3,3,2,4,3,3,3,3,3,3,2,3,2,3,2,3,30,20,30,20,1,,1,1,,,1,7,,,,,,,
R_diqJsmgvnvkn8Jn,Default Response Set,Anonymous,,,0,8/21/2012 0:10,8/21/2012 0:24,1,1218,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,4,3,20,30,25,25,,,1,,1,,,,,,1,3,,,
R_0Bw8G4lZGh9f9g9,Default Response Set,Anonymous,,,0,8/21/2012 0:10,8/21/2012 0:27,1,1218,1,3,3,2,3,3,3,2,4,3,4,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,25,25,20,30,,,1,,1,,,,1,4,,,,,
R_a2vNyHLPXKEmMVD,Default Response Set,Anonymous,,,0,8/21/2012 0:10,8/21/2012 0:29,1,1218,1,4,4,3,3,4,4,3,4,4,3,4,4,3,3,4,3,3,3,3,4,4,1,4,3,4,25,30,10,35,,,1,,1,,1,3,,,,,,,
R_eqzRJMlSEbKYmBn,Default Response Set,Anonymous,,,0,8/21/2012 0:10,8/21/2012 0:30,1,1218,1,3,3,2,4,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,4,3,3,25,25,25,25,,,1,,1,,,,,,1,7,,,
R_8jC2wDdwxjT7cUJ,Default Response Set,Anonymous,,,0,8/21/2012 0:45,8/21/2012 0:54,1,1218,1,4,4,3,3,2,2,4,3,3,2,3,2,3,3,3,3,2,4,4,3,4,2,4,4,3,15,15,30,40,,,1,,1,,1,4,,,,,,,no
R_cAR9wBgU4VIx7lX,Default Response Set,Anonymous,,,0,8/21/2012 0:43,8/21/2012 1:02,1,1218,1,3,4,3,2,3,1,4,2,4,3,2,2,4,3,2,3,3,3,3,3,4,2,4,3,3,10,10,30,50,,,1,,1,,1,1,,,,,,,
R_e3Abrw7bRriRurH,Default Response Set,Anonymous,,,0,8/21/2012 1:40,8/21/2012 1:49,1,1218,1,2,3,3,3,3,3,3,2,4,3,4,2,2,1,2,3,2,4,2,2,4,1,4,2,3,20,20,25,35,,,1,,1,,,,1,4,,,,,
R_3TVqVdvxhorr8u9,Default Response Set,Anonymous,,,0,8/21/2012 2:03,8/21/2012 2:13,1,1218,1,3,4,2,2,1,1,3,3,4,2,2,1,3,1,2,3,1,4,4,3,4,2,4,3,1,10,15,50,25,,1,,,,,,,,,,,1,7,
R_8GnbgPjafJUgk6x,Default Response Set,Anonymous,,,0,8/21/2012 2:16,8/21/2012 2:26,1,1218,1,4,3,2,3,3,3,2,3,3,2,3,2,3,3,2,4,3,3,2,2,2,3,3,2,2,20,20,30,30,,1,,,,,1,3,,,,,,,nice
R_3qici2hGHqLRhNr,Default Response Set,Anonymous,,,0,8/21/2012 3:30,8/21/2012 3:33,1,1218,1,1,3,3,1,3,3,2,2,4,2,4,1,1,1,1,2,2,4,2,1,4,1,3,3,1,40,0,0,60,,,1,,1,,,,1,1,,,,,
R_ezHjPOl9fSjkhE1,Default Response Set,Anonymous,,,0,8/21/2012 5:14,8/21/2012 5:18,1,1218,1,3,4,2,3,3,2,3,4,3,2,3,3,3,2,2,3,2,4,4,3,4,3,4,4,3,30,20,25,25,,,1,,1,,,,,,1,3,,,
R_2azlznKClefkITP,Default Response Set,Anonymous,,,0,8/21/2012 5:24,8/21/2012 5:32,1,1218,1,3,4,2,3,3,1,3,2,4,2,3,1,3,2,2,3,2,4,4,2,3,1,4,4,2,15,20,30,35,,,1,,,,1,1,,,,,,,
R_3w6DnjLY6RBkfWJ,Default Response Set,Anonymous,,,0,8/21/2012 5:38,8/21/2012 5:45,1,1218,1,4,4,3,3,3,3,4,4,4,3,3,3,4,1,3,4,3,4,2,3,4,3,4,4,3,25,25,25,25,,,1,,1,,,,,,,,1,1,
R_b1nQrtwSMlNzcuV,Default Response Set,Anonymous,,,0,8/21/2012 5:42,8/21/2012 5:50,1,1218,1,3,3,2,2,3,2,3,2,3,2,3,2,3,2,2,3,2,4,3,2,4,2,4,3,2,15,20,25,40,,,1,,1,,,,,,,,1,1,"That was fun!  Also, four years of data in just this one category is not much for evaluating the current or predicting the future economy.  "
R_bHM3vxNN8iU0cBv,Default Response Set,Anonymous,,,0,8/21/2012 5:48,8/21/2012 6:01,1,1218,1,4,3,2,3,3,2,4,2,4,1,3,2,2,1,3,3,2,4,3,3,4,2,3,4,2,25,25,25,25,,,1,,1,,,,,,,,1,1,
R_6SAl79oDWsb6jE9,Default Response Set,Anonymous,,,0,8/21/2012 5:58,8/21/2012 6:02,1,1218,1,4,4,2,3,3,1,3,3,3,1,2,2,2,2,3,3,2,3,3,2,3,2,3,4,2,10,40,30,20,,,1,,1,,1,1,,,,,,,
R_2tyhWyP0uJrpfBb,Default Response Set,Anonymous,,,0,8/21/2012 6:31,8/21/2012 6:37,1,1218,1,2,4,3,4,4,3,4,4,4,2,2,3,3,2,3,4,3,2,4,3,4,1,4,4,2,19,22,25,34,,,,,,1,,,1,1,,,,,
R_3BPWLyCpc67Fisd,Default Response Set,Anonymous,,,0,8/21/2012 6:49,8/21/2012 6:54,1,1218,1,4,4,3,4,2,2,4,4,3,2,3,2,3,2,3,3,2,3,4,3,3,2,4,4,2,15,15,20,50,,,1,,1,,,,1,4,,,,,
R_b1HS1jHlgu7E9ox,Default Response Set,Anonymous,,,0,8/21/2012 6:56,8/21/2012 7:02,1,1218,1,4,4,2,3,3,2,4,4,3,2,3,2,4,3,2,3,2,4,4,3,4,3,4,4,3,35,35,20,10,,,1,,1,,,,,,1,7,,,Thanks. That was interesting.
R_efGSNkCFUwcyc6N,Default Response Set,Anonymous,,,0,8/21/2012 7:32,8/21/2012 7:40,1,1218,1,3,4,3,3,3,2,4,3,3,2,3,2,2,2,3,2,2,4,4,3,4,3,4,4,3,20,40,30,10,,,1,,1,,,,1,7,,,,,
R_88rXrERtEJr5H81,Default Response Set,Anonymous,,,0,8/21/2012 7:57,8/21/2012 8:05,1,1218,1,4,4,3,2,3,2,4,4,3,2,3,2,3,3,3,3,2,3,3,3,4,3,3,2,1,15,20,25,40,,,1,,1,,,,,,1,1,,,
R_0ilBHhl4jWAZyaV,Default Response Set,Anonymous,,,0,8/21/2012 8:03,8/21/2012 8:07,1,1218,1,4,4,3,4,4,2,4,4,4,4,3,2,4,2,2,4,3,4,4,4,4,4,3,4,4,25,25,25,25,,,1,,1,,,,,,,,1,1,
R_0p7pPWYU8C9JvWl,Default Response Set,Anonymous,,,0,8/21/2012 8:39,8/21/2012 8:41,1,1218,1,2,2,3,2,2,2,2,2,3,3,2,2,1,2,2,3,2,3,2,2,3,2,2,2,2,25,25,25,25,,,1,,1,,,,,,,,1,3,none
R_1Tcv9PqND7NE6Il,Default Response Set,Anonymous,,,0,8/21/2012 8:40,8/21/2012 8:44,1,1218,1,3,4,2,3,2,2,3,3,3,2,2,1,3,2,2,3,2,3,3,3,4,3,4,4,3,30,20,20,30,,,1,,1,,,,1,1,,,,,
R_24RkR2OQi5JwMzr,Default Response Set,Anonymous,,,0,8/21/2012 8:54,8/21/2012 8:58,1,1218,1,2,3,2,1,3,1,3,1,3,2,3,1,2,2,2,2,2,4,3,1,3,3,4,3,2,25,25,25,25,,,1,,1,,1,1,,,,,,,
R_0iZun2PLUkqItOR,Default Response Set,Anonymous,,,0,8/21/2012 8:55,8/21/2012 9:02,1,1218,1,4,3,2,4,4,2,4,4,4,2,4,3,3,3,3,3,3,4,4,4,3,4,4,4,2,10,7,50,33,,,,,,1,,,,,,,1,2,
R_5pavqXpVmeuZfzn,Default Response Set,Anonymous,,,0,8/21/2012 9:11,8/21/2012 9:16,1,1218,1,4,4,3,3,4,3,4,4,4,3,4,3,3,2,3,4,2,4,4,4,4,1,4,4,3,20,20,30,30,,,1,,1,,,,1,7,,,,,thank you!
R_aeOPilVLrq6PIeF,Default Response Set,Anonymous,,,0,8/21/2012 9:17,8/21/2012 9:21,1,1218,1,4,4,3,3,3,2,4,4,3,2,3,2,4,3,2,3,2,4,4,3,4,3,4,4,3,40,20,20,20,,,1,,1,,1,1,,,,,,,
R_abYAsQ7VEG1TTY9,Default Response Set,Anonymous,,,0,8/21/2012 9:21,8/21/2012 9:26,1,1218,1,1,1,3,1,3,3,2,1,2,4,2,3,1,2,3,2,3,1,1,2,1,2,2,1,1,15,50,25,10,,,1,,1,,1,7,,,,,,,Great Survey!
R_bfGPV61K744XXa5,Default Response Set,Anonymous,,,0,8/21/2012 9:23,8/21/2012 9:32,1,1218,1,3,4,3,3,3,3,4,4,4,2,3,3,4,3,2,3,2,3,3,3,4,3,4,4,2,20,36,42,2,,,1,,1,,,,1,1,,,,,
R_0vzkp7ozBaIHkwd,Default Response Set,Anonymous,,,0,8/21/2012 9:52,8/21/2012 9:59,1,1218,1,2,3,3,2,3,3,2,2,3,3,3,1,2,2,2,2,2,3,2,2,4,2,3,2,2,30,40,20,10,,,1,,1,,,,,,1,5,,,
R_5coCMAp8BJbOpEN,Default Response Set,Anonymous,,,0,8/21/2012 10:07,8/21/2012 10:12,1,1218,1,3,3,2,3,3,2,3,2,4,2,3,2,2,2,2,3,2,3,3,3,4,2,4,3,2,20,25,30,25,,,,,,1,,,1,1,,,,,
R_42yZE9Mm5scSW9v,Default Response Set,Anonymous,,,0,8/21/2012 10:11,8/21/2012 10:22,1,1218,1,2,4,3,2,4,2,3,2,3,2,3,2,2,1,2,2,2,4,3,2,4,2,4,3,2,25,10,15,50,,,1,,1,,,,,,,,1,2,"very interesting survey, i enjoyed taking it. "
R_3q0yYx5SIv9c3Yx,Default Response Set,Anonymous,,,0,8/21/2012 10:48,8/21/2012 10:54,1,1218,1,3,4,2,3,3,2,3,4,3,2,1,3,3,3,3,3,1,3,3,3,4,2,3,3,2,30,20,25,25,,,1,,1,,,,,,1,1,,,
R_2l7w2QbzeT5312J,Default Response Set,Anonymous,,,0,8/21/2012 11:12,8/21/2012 11:15,1,1218,1,3,4,2,3,3,2,3,3,2,2,2,1,2,2,1,2,2,3,3,2,3,3,4,3,3,5,25,50,20,,,1,,1,,,,,,1,3,,,I hope I helped your research!
R_72l2ikygHG7AdkF,Default Response Set,Anonymous,,,0,8/21/2012 11:28,8/21/2012 11:40,1,1218,1,3,4,2,3,3,2,3,3,3,3,3,3,3,3,2,3,2,3,4,4,3,3,4,4,3,20,35,40,5,,,1,,1,,,,,,1,5,,,
R_8oalbP91o6p9LCd,Default Response Set,Anonymous,,,0,8/21/2012 11:33,8/21/2012 11:41,1,1218,1,4,3,3,3,3,3,3,3,4,2,3,2,3,3,3,3,2,4,4,3,4,3,4,4,3,75,21,3,1,,,1,,1,,,,1,1,,,,,
R_3vM9SZdDckGFMot,Default Response Set,Anonymous,,,0,8/21/2012 11:55,8/21/2012 11:59,1,1218,1,3,3,3,1,3,3,2,2,3,3,3,1,1,1,1,2,3,4,3,1,4,1,3,2,1,10,15,25,50,,,1,,1,,,,,,1,7,,,"obama needs to be impeached, he is ruining our economy and government."
R_3eoddJPAN10cqod,Default Response Set,Anonymous,,,0,8/21/2012 13:20,8/21/2012 13:25,1,1218,1,2,3,4,2,3,3,3,4,4,4,3,2,2,2,1,3,4,4,3,2,4,2,3,3,1,10,45,20,25,,,1,,1,,,,,,1,7,,,None
R_4JzIMIrHnMsA4S1,Default Response Set,Anonymous,,,0,8/21/2012 13:22,8/21/2012 13:27,1,1218,1,4,4,2,3,3,2,4,4,3,2,3,2,3,2,3,3,2,4,4,3,4,3,4,4,2,10,35,40,15,,,1,,1,,,,1,1,,,,,None
R_85GxAuIuXU0muXP,Default Response Set,Anonymous,,,0,8/21/2012 13:22,8/21/2012 13:34,1,1218,1,2,3,3,2,3,3,2,3,4,3,3,1,1,2,1,3,3,3,2,2,3,3,4,3,3,18,25,27,30,,,1,,,,,,,,,,1,3,
R_dnAhyX0AyJEheRv,Default Response Set,Anonymous,,,0,8/21/2012 13:55,8/21/2012 13:59,1,1218,1,3,3,3,3,2,3,3,2,3,2,3,2,2,3,2,3,2,4,2,3,4,2,4,2,1,40,20,15,25,,,1,,1,,,,,,1,4,,,
R_8AC8M6gAjBBOSdD,Default Response Set,Anonymous,,,0,8/21/2012 15:00,8/21/2012 15:06,1,1218,1,3,4,3,4,3,3,4,4,4,3,3,3,4,3,3,3,2,4,4,4,4,3,4,4,4,15,35,40,10,,1,,,,,1,6,,,,,,,
R_8JopPPfjBgyntXv,Default Response Set,Anonymous,,,0,8/21/2012 15:02,8/21/2012 15:08,1,1218,1,4,4,2,4,3,2,3,4,2,1,3,2,4,3,3,4,1,3,3,2,3,2,4,3,2,30,15,20,35,,,1,,1,,1,3,,,,,,,no
R_e2To2NKKhA7dhwV,Default Response Set,Anonymous,,,0,8/21/2012 15:50,8/21/2012 16:02,1,1218,1,2,4,4,2,3,3,2,2,4,2,3,1,1,2,2,2,3,3,3,2,4,2,4,3,2,40,10,10,40,,,1,,1,,,,,,,,1,1,
R_3W99H4hBOQ2YLY1,Default Response Set,Anonymous,,,0,8/21/2012 16:05,8/21/2012 16:16,1,1218,1,2,4,3,1,3,2,3,1,4,1,3,1,3,1,1,2,2,4,3,1,4,1,4,3,1,15,35,25,25,,,1,,1,,,,,,,,1,1,
R_aazp48iTpJs8H2Z,Default Response Set,Anonymous,,,0,8/21/2012 16:15,8/21/2012 16:17,1,1218,1,4,4,1,2,4,1,1,4,4,4,1,3,4,3,2,4,4,2,4,4,1,2,4,3,4,6,21,70,3,1,,,,,,1,4,,,,,,,
R_etilR1kVrCLFw9L,Default Response Set,Anonymous,,,0,8/21/2012 16:35,8/21/2012 16:39,1,1218,1,3,2,3,2,3,3,2,1,4,3,3,2,2,2,2,3,2,4,2,1,3,1,3,3,1,25,25,25,25,,,1,,1,,,,,,1,1,,,
R_cCq8UtNc7XbnTjT,Default Response Set,Anonymous,,,0,8/21/2012 17:15,8/21/2012 17:22,1,1218,1,3,4,3,3,3,3,4,2,4,2,3,1,4,3,2,3,2,4,3,2,4,3,4,4,3,10,20,30,40,,,1,,1,,,,1,6,,,,,
R_cJ5JHiPHCnsQ1w1,Default Response Set,Anonymous,,,0,8/21/2012 18:25,8/21/2012 18:30,1,1218,1,3,3,2,3,3,1,3,2,2,2,2,2,3,2,1,2,2,4,3,2,3,2,3,3,2,10,20,30,40,,,1,,1,,,,1,2,,,,,
R_bd4gbzOKZ8w4Kd7,Default Response Set,Anonymous,,,0,8/21/2012 18:42,8/21/2012 18:47,1,1218,1,2,3,2,4,2,4,3,3,2,1,3,3,2,2,3,2,2,3,3,3,1,3,2,3,1,25,30,12,33,,,1,,1,,1,2,,,,,,,
R_9ZBMCMOn0BJ8UE5,Default Response Set,Anonymous,,,0,8/21/2012 19:36,8/21/2012 19:43,1,1218,1,3,4,2,4,3,2,4,4,3,2,4,2,3,3,2,3,2,4,4,3,3,3,4,4,3,10,25,25,40,,,1,,1,,,,,,1,1,,,Why no neutral option?
R_brqd2Hxsyk9YCIl,Default Response Set,Anonymous,,,0,8/21/2012 19:49,8/21/2012 19:57,1,1218,1,3,3,2,3,3,2,3,3,3,2,3,2,3,3,2,3,2,4,3,3,3,3,3,3,2,40,40,30,-10,,,1,,1,,,,,,,,1,1,"Yes the economy is a mess, but it was Bush that wiped out the positive cash flow left by Clinton, AND gave in to the military industrial complex which bankrupted our country in two wars while simutaneiously maimed and killed the next generation of leaders who were loyal to the ideals of USA, who were betrayed by that same USA and are now committing suicide at an epidemic rate."
R_3E55RCgLi7PKW0Z,Default Response Set,Anonymous,,,0,8/21/2012 19:57,8/21/2012 20:03,1,1218,1,3,3,4,3,3,2,3,3,3,2,3,2,2,2,2,3,1,4,3,2,4,1,3,3,2,5,20,35,40,,,1,,1,,,,,,1,5,,,
R_1Bnybca1Ryn7c8J,Default Response Set,Anonymous,,,0,8/21/2012 20:09,8/21/2012 20:13,1,1218,1,4,4,2,4,3,2,4,2,4,2,3,3,4,2,3,4,2,4,4,4,4,3,4,3,3,10,15,20,55,,,1,,1,,1,4,,,,,,,
R_8IWZIGBtOzrdio5,Default Response Set,Anonymous,,,0,8/21/2012 21:48,8/21/2012 21:57,1,1218,1,2,4,2,3,2,2,3,4,3,1,4,1,3,1,2,2,1,4,3,2,4,2,3,3,3,30,50,10,10,,,1,,1,,1,1,,,,,,,
R_eSfmqCSe1Sr0JBH,Default Response Set,Anonymous,,,0,8/21/2012 21:59,8/21/2012 22:02,1,1218,1,3,3,3,1,4,3,2,2,4,3,4,1,1,1,2,3,3,4,3,2,4,1,3,3,1,15,15,35,35,,,1,,1,,,,1,1,,,,,
R_6rhidujZ3ElHL0h,Default Response Set,Anonymous,,,0,8/21/2012 22:13,8/21/2012 22:17,1,1218,1,3,3,3,2,2,2,4,3,4,2,3,2,2,2,2,2,2,3,3,2,4,2,4,4,2,20,20,30,30,,,1,,1,,1,7,,,,,,,
R_aguleT7fkQg41tr,Default Response Set,Anonymous,,,0,8/21/2012 22:32,8/21/2012 22:36,1,1218,1,3,3,2,2,3,2,3,3,3,2,3,1,2,2,2,3,3,3,3,1,3,2,3,3,2,10,20,35,35,,,1,,1,,,,1,3,,,,,
R_72nOd1G6Ky5ogJf,Default Response Set,Anonymous,,,0,8/21/2012 22:29,8/21/2012 22:39,1,1218,1,4,4,3,3,2,3,4,4,3,3,3,4,3,3,3,3,3,4,4,4,4,2,4,4,3,20,20,30,30,,,1,,1,,,,,,1,4,,,
R_6nkyAULdTaZZGXH,Default Response Set,Anonymous,,,0,8/21/2012 22:54,8/21/2012 22:58,1,1218,1,4,4,3,4,3,2,3,4,3,3,4,2,4,2,2,3,2,4,4,3,3,3,4,4,4,25,25,25,25,,,1,,1,,,,1,7,,,,,
R_bykOFeB25W0aiBn,Default Response Set,Anonymous,,,0,8/22/2012 1:43,8/22/2012 1:46,1,1218,1,4,4,3,4,3,2,4,3,4,2,3,2,3,2,3,4,2,4,3,3,4,3,4,4,2,30,20,30,20,,,1,,1,,,,,,1,1,,,
R_dnHUu2S8SOfHQyx,Default Response Set,Anonymous,,,0,8/22/2012 1:41,8/22/2012 1:47,1,1218,1,3,4,3,3,4,3,3,3,4,3,4,2,3,2,2,3,2,4,3,2,4,2,4,3,2,10,20,30,40,,,,,,1,,,1,1,,,,,
R_1UqGvo1Og7WB5dP,Default Response Set,Anonymous,,,0,8/22/2012 2:58,8/22/2012 3:04,1,1218,1,3,3,2,3,2,2,3,3,2,2,2,1,3,2,2,2,2,4,3,2,3,2,3,3,3,35,30,25,10,,,1,,1,,,,,,1,7,,,
