ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,Status,StartDate,EndDate,Finished,I agree to participate in a research study conducted by the Massachusetts Institute of Technology. I...,"Now, we would like you to evaluate the economy during four-year periods. /  /    /  /  On the following page...",epc_1949,epc_1953,epc_1957,epc_1961,epc_1965,epc_1969,epc_1973,epc_1977,epc_1981,epc_1985,epc_1989,epc_1993,epc_1997,epc_2001,epc_2005,epc_2009,epc_2013,epc_2017,epc_2021,epc_2025,epc_2029,epc_2033,epc_2037,epc_2041,epc_2045,econ_weight_pres-Year 1,econ_weight_pres-Year 2,econ_weight_pres-Year 3,econ_weight_pres-Year 4,"If you were evaluating a U.S. president's handling of the economy, which would you prefer?","In previous studies like this one, most people say they place roughly equal weight on all four years..."
R_byN0IT35Eh9S81C,Default Response Set,Anonymous,,,0,12/4/2010 18:29,12/4/2010 18:34,1,1,1,3,4,3,2,3,3,4,2,4,1,4,2,3,3,1,4,3,3,2,1,4,3,4,4,4,25,25,25,25,1,Maybe because it's recent and events that occur recently tend to weight more heavily in our minds and are easily to recall. 
R_6VesYn9m2VZHRJO,Default Response Set,Anonymous,,,0,12/4/2010 18:15,12/4/2010 18:35,1,1,1,3,3,3,3,2,3,4,2,4,1,3,2,3,3,1,4,3,4,1,1,4,3,4,4,4,25,25,25,25,1,"No...I gave equal consideration to all years...however , a number of people do tend  to have a shorter  term memory versus a longer term memorys and answer emotionally."
R_bkl8aNCbT2WSfYg,Default Response Set,Anonymous,,,0,12/4/2010 18:25,12/4/2010 18:35,1,1,1,3,3,4,2,3,3,4,1,4,1,3,3,3,2,1,4,2,3,2,1,3,3,1,4,1,10,20,30,40,1,"I weighed the last year with the most because if the last year is still showing improvment then I would say what every we are doing to get there is working, but if the last year is a decline the plan is not working. "
R_9XFTe4e3pov42he,Default Response Set,Anonymous,,,0,12/4/2010 18:42,12/4/2010 18:50,1,1,1,3,2,3,2,2,2,3,1,3,1,2,2,2,2,1,3,3,2,2,1,2,3,3,3,3,10,25,25,40,2,"I said I weighted it 40% and yes, I probably did over weigh the last year.  I have to say that the last year influenced my final decision each time."
R_40i1okGNkEaK8Ru,Default Response Set,Anonymous,,,0,12/4/2010 18:45,12/4/2010 18:52,1,1,1,4,3,3,3,3,3,4,3,4,2,3,4,3,3,2,4,4,4,3,3,4,4,4,4,4,25,25,25,25,1,"I tried to average out the numbers, but maybe the last year might be a forecast for some about where the economy would be / heading there after. (So they are including the future in the four year period, based on the last. ?)"
R_9Svf2821z2PwVMg,Default Response Set,Anonymous,,,0,12/4/2010 18:50,12/4/2010 18:56,1,1,1,1,4,3,2,2,2,3,3,4,1,2,3,3,2,2,4,2,4,1,2,3,3,4,4,3,25,25,25,25,1,"I'm not sure why this happens. Thinking back on it, it's quite possible that I did the same thing as well. I tried to think of them equally in the thought process, but the end result could have heavily depended on the growth from the last year."
R_6F4Oyzcnh4o4rrK,Default Response Set,Anonymous,,,0,12/4/2010 18:56,12/4/2010 19:01,1,1,1,3,3,4,2,3,2,3,2,4,2,3,3,2,2,2,3,2,2,3,2,2,3,3,3,3,10,15,25,50,1,I intentionally placed more weight on the last year.  People who do this without realizing it are stupid.
R_1SQwL3yqrVY2kK0,Default Response Set,Anonymous,,,0,12/4/2010 18:59,12/4/2010 19:01,1,1,1,3,3,3,2,3,3,3,2,3,2,2,2,3,3,1,3,3,4,2,2,3,3,4,4,4,15,25,30,30,1,no idea
R_0NZ5zgJIi8R2h36,Default Response Set,Anonymous,,,0,12/4/2010 18:48,12/4/2010 19:03,1,1,1,4,3,4,2,3,4,4,2,4,2,3,3,3,3,2,4,3,3,3,2,4,3,4,3,4,12.5,12.5,25,50,1,"Yes, because after four years an income should have a significant amount of growth continuously."
R_0Mzww68S5gvzeLi,Default Response Set,Anonymous,,,0,12/4/2010 18:58,12/4/2010 19:04,1,1,1,3,3,3,2,2,2,3,1,4,1,2,2,2,2,1,3,2,3,2,1,3,3,4,3,4,25,25,25,25,2,"Yes, I feel I may have overweighted the last year.  It is because people look at the trend/direction thing are going in the future."
R_0jpAAZ9YwzFJXBq,Default Response Set,Anonymous,,,0,12/4/2010 19:00,12/4/2010 19:04,1,1,1,3,3,3,2,3,3,4,2,4,2,3,3,2,2,2,4,3,3,3,2,3,3,4,3,4,10,25,40,25,2,I may have.  I may be looking at what seems likely to happen in the future.
R_0k6cTt5CODlfZXe,Default Response Set,Anonymous,,,0,12/4/2010 18:58,12/4/2010 19:05,1,1,1,3,2,4,1,3,2,3,1,4,1,3,3,1,1,1,4,3,1,2,2,2,2,2,3,3,3,7,15,75,1,Personally I would not want to fee as though I am going backwards in the economy.
R_40FTcs3LpMAu5Ug,Default Response Set,Anonymous,,,0,12/4/2010 18:57,12/4/2010 19:05,1,1,1,3,1,4,1,1,2,2,1,4,1,3,2,1,1,1,4,2,1,1,4,2,3,2,4,3,25,25,25,25,1,No
R_aXzZtnEWEalZMsk,Default Response Set,Anonymous,,,0,12/4/2010 19:06,12/4/2010 19:09,1,1,1,3,3,3,2,2,2,3,2,3,1,2,2,2,2,1,3,3,3,2,2,3,3,4,4,4,25,25,25,25,1,i did not
R_0lFVJGWW4Y1E5us,Default Response Set,Anonymous,,,0,12/4/2010 19:07,12/4/2010 19:12,1,1,1,4,4,3,3,3,3,4,3,4,3,3,2,2,2,2,4,3,4,3,2,4,4,4,4,4,25,25,25,25,1,People have a tendency to think to the last thing
R_0qZGSjDQV9PhECE,Default Response Set,Anonymous,,,0,12/4/2010 19:04,12/4/2010 19:13,1,1,1,3,3,3,2,3,3,3,2,4,2,3,3,3,2,2,4,3,3,2,2,3,3,4,4,4,20,20,30,30,1,Economic growth can't really be determined by one year but rather over the course of several years in order to verify the direction of the trend.
R_7QdZQzYc47r8BYo,Default Response Set,Anonymous,,,0,12/4/2010 19:05,12/4/2010 19:13,1,1,1,4,3,4,2,4,4,4,2,4,3,3,4,2,4,3,4,4,4,3,3,2,4,4,4,4,35,25,20,20,1,"I generally didn't think I gave to much extra credence to the final year, but now I know that may not have been the case. /  / I would say that much more weight is put on the final year because the economy is viewed in different segments, when it is actually fluid and no year is more identifiable than any other. As in, there is no 4 segments years of the economy, it's just one continuous ride, but people are hardwired to think in terms of beginning and end."
R_5dnvA27QeBqEOjy,Default Response Set,Anonymous,,,0,12/4/2010 18:44,12/4/2010 19:14,1,1,1,3,3,3,2,2,2,3,1,3,1,2,3,1,2,1,3,2,4,2,1,4,3,4,4,4,20,30,30,20,1,I did not overweight the last year.
R_1Byzf7kf1BtXaXW,Default Response Set,Anonymous,,,0,12/4/2010 19:14,12/4/2010 19:17,1,1,1,2,1,2,4,3,2,4,1,4,1,3,3,3,2,1,2,1,1,3,3,1,2,4,4,1,20,20,10,50,1,"the last year is the most recent, and holds more value as it's the most current"
R_6VertDpidjMGAzG,Default Response Set,Anonymous,,,0,12/4/2010 19:09,12/4/2010 19:18,1,1,1,3,2,2,1,2,2,3,1,3,1,2,2,1,2,1,3,2,3,2,1,3,3,2,2,3,25,25,25,25,1,Possibly I did--one might think that it took that long for programs to have effect.
R_40DmpW1gFvzCjNW,Default Response Set,Anonymous,,,0,12/4/2010 19:19,12/4/2010 19:24,1,1,1,3,4,3,3,3,3,4,3,4,2,3,3,3,3,2,4,4,4,2,1,4,4,4,4,4,25,25,25,25,1,I could definitely have overestimated.  I suppose I may have done this because looking at a good last year offers a lot of hope about the state of the economy.
R_06xsckmUlPXiqKU,Default Response Set,Anonymous,,,0,12/4/2010 18:55,12/4/2010 19:25,1,1,1,3,3,3,2,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,2,3,3,3,3,4,25,25,25,25,1,"I tried to evaluate the 4 years equally. That was how I viewed it. / Maybe because the last year is the most current, it seem to be the most important to some people, and they give the most weight to that time."
R_9Fatfily8bmbszO,Default Response Set,Anonymous,,,0,12/4/2010 19:17,12/4/2010 19:30,1,1,1,3,3,4,1,3,3,2,1,4,1,3,2,3,1,1,4,3,3,3,3,2,3,4,3,3,25,25,25,25,1,Yeah probley because we are exspecting a improvent over the last three years
R_0wzko219PvBwckc,Default Response Set,Anonymous,,,0,12/4/2010 19:25,12/4/2010 19:30,1,1,1,3,3,3,2,3,3,4,2,4,1,3,3,2,3,1,4,3,4,2,1,4,3,4,4,4,25,25,25,25,1,I don't believe I overweighted the last year. I believe I tended to take the average trend over the years and answer based on the overall trend.
R_4IcUfoWheUiFkYk,Default Response Set,Anonymous,,,0,12/4/2010 19:20,12/4/2010 19:31,1,1,1,3,2,3,1,2,2,3,2,3,2,2,2,1,2,2,3,2,2,2,3,3,2,3,4,3,20,20,25,35,1,I think people placing much more weight on the last year but I made my decisions by adding the totals of all  the growths over the four years together.
R_bxe7UMfMXED5El6,Default Response Set,Anonymous,,,0,12/4/2010 19:23,12/4/2010 19:32,1,1,1,3,3,3,2,2,3,3,1,4,1,2,3,1,2,1,3,3,3,1,1,3,3,4,4,4,25,25,25,25,1,"I was doing some quick math to see if the negative years matched the positive years I thought I was giving a fair amount of weight to negative years, such that it would take a really good year to not only overcome the negative but to surpass it and move the overall total (across 4 years) into positive territory. But I can see that I may well have weighed the last yeaar a bit more than equally. "
R_06Vf8KEUaF1xKDO,Default Response Set,Anonymous,,,0,12/4/2010 19:29,12/4/2010 19:34,1,1,1,4,3,4,3,3,4,4,3,4,2,4,3,3,3,2,4,3,4,3,2,4,3,4,4,4,25,25,25,25,1,No.  I looked at the over all positive or negative for all 4 years together to make my determination.  If the stats don't bear out that way for me I would be very surprised.
R_87gYOrk2hyuDLKY,Default Response Set,Anonymous,,,0,12/4/2010 19:28,12/4/2010 19:34,1,1,1,4,3,4,2,3,3,4,2,4,2,3,3,3,2,1,4,3,4,3,2,4,3,4,4,4,25,25,25,25,1,"No, I look at my growth over the past few years not just one.  I think since the economy is in such bad shape as as result of the 8 years the previous administration sank us into, it's not fair to look at just last year as a measure of how things are progressing."
R_8qaL2vXLsHBRmHW,Default Response Set,Anonymous,,,0,12/4/2010 19:14,12/4/2010 19:37,1,1,1,2,4,2,2,1,2,3,1,4,1,3,3,2,2,1,4,2,4,3,1,4,2,4,4,4,20,25,35,20,1,Because people think that things should improve yearly.
R_eRj9rle6PFrDqKw,Default Response Set,Anonymous,,,0,12/4/2010 19:37,12/4/2010 19:43,1,1,1,3,4,4,2,3,3,4,2,4,3,3,3,2,3,2,4,3,4,3,2,4,3,4,4,4,20,25,25,30,1,Perhaps people think the change in the last year is the beginning of a trend.
R_b44abWyj9bimlj6,Default Response Set,Anonymous,,,0,12/4/2010 19:36,12/4/2010 19:44,1,1,1,4,3,4,2,3,3,4,2,4,2,3,3,3,3,2,4,3,3,3,2,4,3,4,4,4,25,25,25,25,1,I tried to look at the average of all four years.
R_73yHApwqWI4e1ko,Default Response Set,Anonymous,,,0,12/4/2010 19:44,12/4/2010 19:48,1,1,1,3,3,4,2,3,3,3,2,3,2,2,3,2,2,2,4,3,2,2,2,3,3,3,4,4,10,20,30,40,1,I think that it is the most recent and what we can relate to
R_a9mJgrosmzFbWiE,Default Response Set,Anonymous,,,0,12/4/2010 19:39,12/4/2010 19:49,1,1,1,3,4,3,3,3,3,4,2,4,2,3,3,3,3,1,3,3,4,3,2,4,3,4,4,4,25,25,25,25,1,
R_8FVrvm9UP3d3jdW,Default Response Set,Anonymous,,,0,12/4/2010 19:38,12/4/2010 19:50,1,1,1,3,3,3,2,3,3,3,2,3,2,3,3,3,2,2,3,2,3,3,2,3,3,3,3,3,25,25,25,25,1,"I think recent economic events, positive or negative weigh more heavily in the opinions of individuals.  It is a lot tougher to reflect objectively and not be influenced by events of the recent past--especially when the last year has been a difficult one.."
R_a8IuiAgAzGRcnVG,Default Response Set,Anonymous,,,0,12/4/2010 19:49,12/4/2010 19:53,1,1,1,3,3,4,1,2,2,2,1,4,2,3,2,2,1,2,4,3,1,3,3,1,3,2,2,3,30,10,20,40,1,"I did give more thought to the last year, since it is the most recent and has more to do with current conditions than the other years."
R_0j6C39V4AxVX9gE,Default Response Set,Anonymous,,,0,12/4/2010 19:28,12/4/2010 19:54,1,1,1,4,3,3,3,3,4,4,2,4,1,3,3,2,2,2,4,2,3,3,2,4,3,4,4,4,30,15,15,40,2,"Because the time chosen to evaluate was four years,I ""automatically"" thought in terms of a presidential term.Thinking in those terms,I think a president inherits a year or two of the previous president's economy.The final years are ""his"" economy and if personal income rises in the fourth year,then at least the economy was on the rise at the end of the term.That was my thinking which is probably totally different from other people's way of evaluating the terms."
R_bK5VqA58TxIwkJK,Default Response Set,Anonymous,,,0,12/4/2010 19:54,12/4/2010 20:01,1,1,1,3,3,3,2,3,3,4,2,3,2,3,2,3,3,2,3,3,4,2,2,3,3,4,4,4,25,25,25,25,1,"Probably the thought of what have you done for me lately. Also, argument to sway political views."
R_9XK8VrtgVEcKD2s,Default Response Set,Anonymous,,,0,12/4/2010 19:58,12/4/2010 20:05,1,1,1,4,3,4,2,3,3,2,1,4,2,3,1,2,2,1,4,4,3,2,1,2,3,4,4,3,31,20,30,19,1,No I tried to do it higher the first year and almost even the rest of years
R_bgt9BMnabF9cL9a,Default Response Set,Anonymous,,,0,12/4/2010 20:05,12/4/2010 20:10,1,1,1,4,4,4,3,3,4,4,2,4,2,3,3,3,2,2,4,3,3,3,2,4,3,4,4,4,20,25,25,30,1,"possibly, because it is the last statitstic you see"
R_bdsIXOrwkW9deni,Default Response Set,Anonymous,,,0,12/4/2010 20:02,12/4/2010 20:12,1,1,1,3,3,4,2,3,3,3,1,4,1,3,3,2,2,1,4,2,2,3,2,4,3,4,3,4,16,17,17,50,1,"I actually think that I stated that I gave the last year more weight than I actually did, after rethinking about it.  People probably do this because once you get through the four years, the important thing is that you are further ahead than you were at the beginning of the period, so if the beginning of the period was bad, it could be made up for by improvements in later years."
R_0eNT9dF7BH8mnSA,Default Response Set,Anonymous,,,0,12/4/2010 20:09,12/4/2010 20:18,1,1,1,2,3,3,1,1,3,3,1,4,1,2,2,1,1,1,3,2,3,1,1,4,2,4,4,3,25,25,25,25,1,"I guess that ""all's well that ends well."" Personally, I noticed a bias in my own answers towards lower ratings for periods with negative growth surrounded by positive growth, i.e. a negative one plue two positive ones is not as good as three positive two-thirds. Since economic policy takes time, maybe people weight the last year higher because it reflects the current regime's policies. Personally, I don't think any president in my lifetime understood the economy except Ronald Reagan and I disliked him for other reasons. Intelligence and an understanding of the economy don't always go hand in hand."
R_bC1vvlNzeuYiCIk,Default Response Set,Anonymous,,,0,12/4/2010 20:07,12/4/2010 20:20,1,1,1,3,4,3,2,3,2,3,2,4,2,3,3,3,2,1,4,3,3,2,2,4,3,3,4,4,25,25,25,25,1,people have a short memory. 
R_4NJuSIkJywDAF3m,Default Response Set,Anonymous,,,0,12/4/2010 20:06,12/4/2010 20:20,1,1,1,4,3,4,3,3,3,4,2,4,2,3,3,3,3,1,4,3,4,2,1,3,3,4,4,4,25,25,25,25,1,It is certainly possible. A large gain or loss of percentage growth could certainly influence judgement. The latest results are certainly freshest in memory and likely to influence thinking about a longer period.
R_26n6esnVDzWDDbS,Default Response Set,Anonymous,,,0,12/4/2010 20:15,12/4/2010 20:22,1,1,1,4,3,3,3,3,3,4,2,4,2,3,3,2,3,1,4,3,4,3,2,4,3,4,4,4,25,25,25,25,1,"no. i split it equally.  You want a balance, you dont want to just judge the last year."
R_4VDHTyvnxPj5Z9W,Default Response Set,Anonymous,,,0,12/4/2010 20:18,12/4/2010 20:24,1,1,1,3,3,3,1,3,2,4,1,4,2,2,3,2,2,1,4,2,3,2,1,4,2,4,3,4,25,25,25,25,1,"No, I was not looking at ""year 1"" or ""year 4"" but the actual growth, I was looking to see if we were positive all four years, if not positive, how low was the low....didn't matter which year the low occurred in. So I believe I was equal for each year."
R_1TR60RXHCxVnYpe,Default Response Set,Anonymous,,,0,12/4/2010 20:16,12/4/2010 20:27,1,1,1,4,4,4,2,2,4,4,2,4,2,4,2,2,1,1,4,3,3,2,1,4,4,4,4,4,70,20,0,10,1,
R_4ZvyjYYKHaaWgxS,Default Response Set,Anonymous,,,0,12/4/2010 20:19,12/4/2010 20:31,1,1,1,4,4,4,3,3,4,4,2,4,2,3,4,3,3,1,4,4,4,2,1,4,4,4,4,4,25,25,25,25,1,"It's possible that I over weighted the last year, but I don't think so, because I added up the numbers in my head (or at least quickly estimated the total) for most of the charts. I suppose that most people tend to overweight the final year because they have been trained through the education system to plot growth as a rising curve or line, whereas this format presents growth as any positive value regardless of its relationship to the previous measurement."
R_29w6DPTLYzvFbIE,Default Response Set,Anonymous,,,0,12/4/2010 20:37,12/4/2010 20:47,1,1,1,3,3,3,2,2,2,3,1,4,1,2,2,2,2,1,3,3,3,2,2,3,2,4,3,3,25,25,25,25,1,"I don't think I over weighted it but can't be sure. But, everybody wants the last year to have been a good one."
R_00VdQwF5LJRmhKs,Default Response Set,Anonymous,,,0,12/4/2010 20:43,12/4/2010 20:51,1,1,1,4,4,4,3,4,3,4,2,4,2,3,3,2,1,1,4,3,4,3,4,4,3,4,4,4,10,20,20,50,1,"I know I overweighted the last year. I think it is because I was looking at the fourth year as sort of a ""result"" instead of part of an average. i didn't start to realize this until abou half way trhrough the survey."
R_e8KPiMYQ3NUomFu,Default Response Set,Anonymous,,,0,12/4/2010 20:46,12/4/2010 20:52,1,1,1,3,3,4,1,3,3,3,2,4,1,2,2,2,2,1,4,2,3,2,1,3,2,4,3,4,25,25,25,25,1,I am not sure.
R_d7pWIlCWCMw0Kzi,Default Response Set,Anonymous,,,0,12/4/2010 20:40,12/4/2010 20:56,1,1,1,3,3,4,2,3,4,4,2,4,1,3,3,3,2,2,4,4,4,3,2,4,3,4,4,4,15,20,25,40,1,"I don't think so. I gave it a 40% because if there were three good years (+) and the fourth year was bad (-), then I looked at just how bad the fourth was before making my judgment.  I felt there would have to be 4 plus years to give a very good rating.  There were lots of 4 year periods I gave a fairly good rating to.  I gave this rating based on the overall assessment of the 4 years in the period.  A period could get a fairly good rating if 2 years were slightly negative but there were also 2 very good years.  I gave the last year a 40% weight because I realize that it's the last year I looked at before I made my decision."
R_5ur6GH26bPxIIkI,Default Response Set,Anonymous,,,0,12/4/2010 21:01,12/4/2010 21:10,1,1,1,4,4,4,2,3,3,4,2,4,1,3,3,3,3,1,3,3,4,3,1,4,3,4,4,4,15,20,30,35,1,"I tried not to, but perhaps the feeling is that ""things are getting better"" so people tend to carry that idea out into the future and think it will continue.   /  / I tried to look more at the average over the four years, the stability (preferred slower growth sustained, as opposed to one great year and several poor ones).   /  / I hope this helps....... It would also help if you could see all the graphs at once, because I think you get started and then as you see the graphs, perhaps start adjusting what you think is ""fairly good"" or ""fairly bad"" accordingly.  "
R_a4wny2LPjkF6x0w,Default Response Set,Anonymous,,,0,12/4/2010 21:05,12/4/2010 21:11,1,1,1,3,3,4,2,3,3,3,2,4,2,2,2,3,2,1,4,3,2,2,1,4,3,4,3,4,20,10,20,50,1,I guess I'm looking for improvement and if the last year was lower or completely nosedived I figure it could continue to go down or remain low.
R_4YMfiKM9JIcIX52,Default Response Set,Anonymous,,,0,12/4/2010 21:12,12/4/2010 21:18,1,1,1,4,4,3,2,3,3,4,2,4,1,3,3,2,3,1,4,3,3,3,2,4,4,4,4,4,10,20,30,40,1,I believe that people give more weight to the last year because they believe it indicates the direction in which the future economy is heading.
R_a4v0VU9ztwcb5iI,Default Response Set,Anonymous,,,0,12/4/2010 20:46,12/4/2010 21:23,1,1,1,2,3,3,2,1,3,3,1,3,1,2,2,1,2,1,3,2,3,2,1,3,2,4,4,4,25,25,25,25,1,People tend to overvalue the most recent performance and believe that it will be an indicator of what to expect for the next year.
R_1Xp1vOEks4Jg7wo,Default Response Set,Anonymous,,,0,12/4/2010 21:24,12/4/2010 21:29,1,1,1,4,3,4,2,3,2,3,1,4,2,4,3,2,1,2,4,3,3,3,3,4,3,4,3,4,15,20,40,25,1,"I did outweigh the last year, but only if the trend showed a downward or upward turn.  If the previous three years were fairly good or fairly bad, I rated it as such.  However, most people are in the ""what have you done for me lately"" frame of mind, suggesting that regardless of the previous three years, the state of the economy in the current year is what matters the most."
R_bQHI63YLsjcswhC,Default Response Set,Anonymous,,,0,12/4/2010 21:33,12/4/2010 21:40,1,1,1,4,3,3,2,3,4,3,2,3,2,3,3,2,3,1,3,3,3,3,1,3,3,4,3,4,10,20,30,40,1,"It is hard not to overweight the situation when it is discussed hours and hours by everybody and every media outlet.  The fear of the future is very scary, and many people feel that maybe they are okay now, but if everything continues to decline at the same rate could be in big trouble.  Also regarding this survey, I tried to think of it like this:  if year one was -2, and then year 2 was +2, that evens it.  So year 3 and 4 were the deciding years on how I rated the economy over the whole 4 years."
R_eniyUGKg7bWSsBe,Default Response Set,Anonymous,,,0,12/4/2010 21:43,12/4/2010 21:48,1,1,1,3,3,3,2,3,4,3,2,4,2,3,2,2,2,1,3,2,3,2,1,2,3,4,3,4,15,15,30,40,1,Most people are focused on the last year because it affects them the most.
R_0feWClLAv3TQZvu,Default Response Set,Anonymous,,,0,12/4/2010 21:38,12/4/2010 21:56,1,1,1,2,3,3,2,2,3,3,2,3,1,2,2,2,2,1,3,2,2,2,1,3,2,3,3,4,25,25,25,25,1,"It's possible but if I did, I wasn't aware of it.  I tried to consider the rate of gain (or loss) for each year and how they averaged out over the 4 year period.  "
R_bf79ESj2LSqOqyg,Default Response Set,Anonymous,,,0,12/4/2010 21:52,12/4/2010 21:56,1,1,1,3,3,4,3,3,3,3,2,4,2,3,3,3,3,2,3,3,4,2,3,4,3,4,4,4,15,20,25,40,2,Because the change in the final percentage incorporates the gains of the previous years.
R_cFRKQTJgekJoES0,Default Response Set,Anonymous,,,0,12/4/2010 21:44,12/4/2010 22:03,1,1,1,3,3,4,1,3,2,2,2,4,1,3,2,2,1,1,4,3,3,1,1,2,3,4,3,4,25,25,25,25,1,"I tried to look at each year.  If there was substantial growth from the first year to the second, from the second to the third, and from the third to the fourth, I believe the economy was good.  If there was negative growth in the first year, but measured growth in years 2 or 3, I tried to use year four as the determing factor.   /  / I think it is difficult to recall previous hard times, when we have a sense of prosperous and good times within our reach.  "
