ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,Status,StartDate,EndDate,Finished,study_number,I agree to participate in a research study conducted by the Massachusetts Institute of Technology. I...,I understand that this survey will test my reading comprehension (really whether I'm reading at all)...,attention_1-1,attention_1-2,attention_1-3,y,epc_1949,epc_1953,epc_1957,epc_1961,epc_1965,epc_1969,epc_1973,epc_1977,epc_1981,epc_1985,epc_1989,epc_1993,epc_1997,epc_2001,epc_2005,epc_2009,epc_2013,epc_2017,epc_2021,epc_2025,epc_2029,epc_2033,epc_2037,epc_2041,epc_2045,ly,ly_1949,ly_1953,ly_1957,ly_1961,ly_1965,ly_1969,ly_1973,ly_1977,ly_1981,ly_1985,ly_1989,ly_1993,ly_1997,ly_2001,ly_2005,ly_2009,ly_2013,ly_2017,ly_2021,ly_2025,ly_2029,ly_2033,ly_2037,ly_2041,ly_2045,yl,yl_1949,yl_1953,yl_1957,yl_1961,yl_1965,yl_1969,yl_1973,yl_1977,yl_1981,yl_1985,yl_1989,yl_1993,yl_1997,yl_2001,yl_2005,yl_2009,yl_2013,yl_2017,yl_2021,yl_2025,yl_2029,yl_2033,yl_2037,yl_2041,yl_2045,econ_weight_pres-Year 1,econ_weight_pres-Year 2,econ_weight_pres-Year 3,econ_weight_pres-Year 4,econ_weight_future-Year 1,econ_weight_future-Year 2,econ_weight_future-Year 3,econ_weight_future-Year 4,attention_2-pink,attention_2-red,attention_2-green,attention_2-white,attention_2-yellow,attention_2-blue,Thanks again! Any comments? (optional),how_responsible-Year 1,how_responsible-Year 2,how_responsible-Year 3,how_responsible-Year 4,v_1949,v_1953,v_1957,v_1961,v_1965,v_1969,v_1973,v_1977,v_1981,v_1985,v_1989,v_1993,v_1997,v_2001,v_2005,v_2009,v_2013,v_2017,v_2021,v_2025,v_2029,v_2033,v_2037,v_2041,v_2045
R_3gz22qRKNCiOhz6,Default Response Set,Anonymous,,,0,6/3/2011 10:22,6/3/2011 10:26,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,3,2,2,3,3,3,2,3,3,3,2,2,3,2,2,2,2,3,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,15,20,30,35,,,,,,,1,,1,,NO,2,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,
R_3IWzjOFvbc5ZJcg,Default Response Set,Anonymous,,,0,6/3/2011 10:19,6/3/2011 10:27,1,1101,1,1,1,1,,1,3,2,3,3,3,3,2,3,3,3,3,3,3,3,4,2,4,3,3,3,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,25,25,,,,,,,1,,1,,,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_3wlgqdz5BxmpT7e,Default Response Set,Anonymous,,,0,6/3/2011 10:22,6/3/2011 10:29,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,2,4,2,4,3,4,1,3,3,2,3,3,3,4,3,3,2,1,2,1,2,3,2,25,25,25,25,,,,,,,1,,1,,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
R_9S88yQ9oaA9asBK,Default Response Set,Anonymous,,,0,6/3/2011 10:23,6/3/2011 10:29,1,1101,1,1,1,1,,1,4,2,3,3,3,4,3,4,2,4,3,4,4,3,4,4,4,2,3,3,3,2,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,30,40,,,,,,,1,,1,,No comments.,2,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
R_1BIOY8alDP3br6Y,Default Response Set,Anonymous,,,0,6/3/2011 10:29,6/3/2011 10:35,1,1101,1,1,1,1,,1,2,1,1,3,2,3,2,3,2,3,3,2,3,2,4,2,3,2,2,2,2,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,40,,,,,,,1,,1,,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
R_9HatgNq7HcMyIPq,Default Response Set,Anonymous,,,0,6/3/2011 10:29,6/3/2011 10:35,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,3,1,2,2,4,1,3,2,2,3,2,4,3,3,2,3,1,2,1,1,2,2,15,15,30,40,,,,,,,1,,1,,,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,
R_0oDmaSz10HpgcPq,Default Response Set,Anonymous,,,0,6/3/2011 10:28,6/3/2011 10:35,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,3,3,3,3,3,4,3,4,4,4,4,3,4,3,4,3,4,4,3,3,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,25,25,,,,,,,1,,1,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_8v2KDFDuqxxGi5S,Default Response Set,Anonymous,,,0,6/3/2011 10:27,6/3/2011 10:39,1,1101,1,1,1,1,,1,3,1,3,3,3,4,2,4,3,3,3,4,3,3,4,3,4,3,3,3,3,2,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15,15,50,,,,,,,1,,1,,,2,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,
R_81CGoIlvUv7HnEg,Default Response Set,Anonymous,,,0,6/3/2011 10:36,6/3/2011 10:43,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2,3,2,3,2,3,1,2,3,3,2,3,4,3,2,2,3,2,3,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,40,,,,,,,1,,1,,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
R_begsZimE5OEuLPK,Default Response Set,Anonymous,,,0,6/3/2011 10:40,6/3/2011 10:47,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,3,3,3,3,3,4,3,4,4,3,3,3,4,4,4,2,4,3,2,2,1,1,3,10,20,30,40,,,,,,,1,,1,,I want an option between fairly bad and fairly good.,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,
R_6RsrIb6A3EG0GfG,Default Response Set,Anonymous,,,0,6/3/2011 10:44,6/3/2011 10:50,1,1101,1,1,1,1,,1,4,2,3,2,3,3,3,3,3,3,4,4,3,4,4,4,4,2,4,3,3,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,25,25,30,,,,,,,1,,1,,,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
R_8vwWnKPHhKdRZ2Y,Default Response Set,Anonymous,,,0,6/3/2011 10:49,6/3/2011 10:54,1,1101,1,1,1,1,,1,2,1,2,3,1,3,2,3,1,3,2,2,3,3,4,3,2,2,3,1,2,1,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,10,20,50,,,,,,,1,,1,,,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
R_eOKpM3AsGm5EKlS,Default Response Set,Anonymous,,,0,6/3/2011 10:45,6/3/2011 10:56,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,3,3,2,3,2,3,2,3,3,3,3,3,4,3,3,2,3,3,3,1,1,2,3,15,25,30,30,,,,,,,1,,1,,Thanks for the opportunity.,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
R_6lCSnMYqQYCzVOc,Default Response Set,Anonymous,,,0,6/3/2011 10:48,6/3/2011 10:58,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,2,3,1,3,3,4,1,3,2,2,4,3,4,4,3,3,2,1,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,40,30,,,,,,,1,,1,,,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
R_cYMhDKtyrRQ3qh6,Default Response Set,Anonymous,,,0,6/3/2011 10:51,6/3/2011 10:59,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,3,3,3,3,3,3,2,3,2,3,3,3,4,3,3,3,2,3,3,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,25,25,,,,,,,1,,1,,Interesting!,2,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
R_bqL3hSp3sah1Uji,Default Response Set,Anonymous,,,0,6/3/2011 10:59,6/3/2011 11:06,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,2,2,3,3,3,3,3,3,3,3,3,2,3,2,3,2,4,2,3,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,30,20,20,30,,,,,,,1,,1,,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
R_8psWKU3XGHYL3g0,Default Response Set,Anonymous,,,0,6/3/2011 11:05,6/3/2011 11:10,1,1101,1,1,1,1,,1,3,1,1,4,1,4,4,4,1,3,2,2,3,3,3,3,4,4,2,1,3,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,25,25,,,,,,,1,,1,,no,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,
R_8vKoRwtGnDbwhZW,Default Response Set,Anonymous,,,0,6/3/2011 11:06,6/3/2011 11:13,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,3,3,3,3,2,4,3,4,4,4,3,3,4,4,4,3,4,4,4,2,2,2,3,25,10,20,45,,,,,,,1,,,," I didn't read the last question about color, which was probably a trick.  So I'm returning the hit",1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,
R_5tMiw0n46HQI9jm,Default Response Set,Anonymous,,,0,6/3/2011 11:14,6/3/2011 11:18,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,3,2,2,2,3,3,3,2,2,2,3,3,3,2,3,3,2,2,1,2,2,20,20,20,40,,,,,,,1,,1,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_2fLi2AXgnCmXigA,Default Response Set,Anonymous,,,0,6/3/2011 11:13,6/3/2011 11:19,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,3,3,3,3,4,4,3,4,4,4,3,3,4,4,3,3,4,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,25,25,,,,,,,1,,1,,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
R_1Rf78PwBD1SjCKM,Default Response Set,Anonymous,,,0,6/3/2011 11:01,6/3/2011 11:24,1,1101,1,1,1,1,,1,3,2,3,3,3,4,3,4,3,4,4,4,4,3,4,4,4,3,4,4,3,2,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,28,16,,,,,,,1,,1,,,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
R_39MTPx5skBnHDYU,Default Response Set,Anonymous,,,0,6/3/2011 11:26,6/3/2011 11:31,1,1101,1,1,,,1,1,2,1,4,4,1,3,3,4,2,4,4,3,4,4,4,4,3,2,3,3,4,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,20,50,,,,,,,1,,1,,,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
R_9H0D2ZyhsDbveGo,Default Response Set,Anonymous,,,0,6/3/2011 11:25,6/3/2011 11:32,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,3,3,2,3,2,4,2,3,3,3,3,3,4,3,3,2,3,3,3,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,25,25,,,,,,,1,,1,,,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
R_0PPJxKcNHt910ji,Default Response Set,Anonymous,,,0,6/3/2011 11:27,6/3/2011 11:34,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,2,3,3,15,25,25,35,,,,,,,1,,1,,,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
R_6FpHxdTM8Xq7WEQ,Default Response Set,Anonymous,,,0,6/3/2011 11:28,6/3/2011 11:35,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,3,3,3,2,2,3,3,4,3,4,3,2,4,3,3,3,4,3,4,2,3,3,2,30,30,20,20,,,,,,,1,,1,,,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
R_5tZpm2xCHq7D4RS,Default Response Set,Anonymous,,,0,6/3/2011 11:30,6/3/2011 11:37,1,1101,1,1,1,1,,1,4,3,4,3,4,3,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,25,25,10,15,30,45,,,1,,1,,,1,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,
R_6tHJv5k5uJtDjaA,Default Response Set,Anonymous,,,0,6/3/2011 11:34,6/3/2011 11:38,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,4,4,3,4,3,4,3,4,3,3,4,3,4,4,3,3,4,3,3,2,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,10,30,30,30,0,0,0,100,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_cwKnjYIT0ew7gkQ,Default Response Set,Anonymous,,,0,6/3/2011 11:40,6/3/2011 11:44,1,1101,1,1,1,1,,1,3,1,1,4,1,4,3,4,1,3,3,2,4,4,4,4,3,3,2,1,2,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,30,50,10,10,30,50,,,1,,1,,Thank you.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_cNOHszTAMHFVCsc,Default Response Set,Anonymous,,,0,6/3/2011 11:42,6/3/2011 11:48,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,4,4,3,4,3,4,2,4,4,4,3,4,4,4,3,2,4,3,4,3,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,10,15,15,60,30,20,20,30,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_esrLBcqwQ6p5kws,Default Response Set,Anonymous,,,0,6/3/2011 11:44,6/3/2011 11:54,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2,4,1,4,3,4,2,4,2,2,4,3,4,4,3,4,2,2,3,3,2,3,3,40,5,5,50,30,10,10,50,,,1,,1,,Interesting study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_efxhvEKftEP6RCc,Default Response Set,Anonymous,,,0,6/3/2011 11:57,6/3/2011 12:01,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,3,3,2,3,3,4,2,3,4,4,3,3,4,3,3,2,4,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,20,30,30,20,20,30,30,20,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_4TKq3ayWXIsJnww,Default Response Set,Anonymous,,,0,6/3/2011 12:01,6/3/2011 12:07,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,3,3,2,3,3,4,2,3,4,3,3,3,4,3,3,2,3,3,3,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,30,30,25,25,25,25,,,1,,1,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6Fpzu5nUPQIYlus,Default Response Set,Anonymous,,,0,6/3/2011 12:00,6/3/2011 12:08,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,3,3,3,3,2,4,2,4,4,4,4,3,4,4,4,2,4,3,3,2,2,2,3,20,25,25,30,15,20,25,40,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0OkX9cIHzKvuegY,Default Response Set,Anonymous,,,0,6/3/2011 11:59,6/3/2011 12:08,1,1101,1,1,1,1,,1,2,1,1,3,1,4,2,3,1,3,3,1,3,3,4,3,2,2,1,1,2,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,15,70,5,10,15,70,,,1,,1,,thank you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_7TFRhsteDUZoZJG,Default Response Set,Anonymous,,,0,6/3/2011 12:01,6/3/2011 12:09,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,3,3,3,3,3,4,3,4,4,4,4,3,4,4,4,3,3,4,3,3,2,3,3,20,20,25,35,25,25,25,25,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_dbde9nvbduzIoaU,Default Response Set,Anonymous,,,0,6/3/2011 12:04,6/3/2011 12:11,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,3,4,2,3,3,4,2,4,4,2,4,3,4,3,4,3,3,2,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,40,20,20,20,40,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
